full_name,pdes,name,H,diameter,albedo,om,w,moid,class,rms
   204 Kallisto,204,Kallisto,8.9,48.566,0.194,205.1050656813648,55.30105692069675,1.20391,MBA,.46224
   205 Martha,205,Martha,9.5,76.983,0.061,211.7781015891198,176.3286949169113,1.68075,MBA,.41283
   206 Hersilia,206,Hersilia,8.7,113,0.057,145.0447151331328,302.9950139321902,1.65266,MBA,.45939
   207 Hedda,207,Hedda,10.1,57.880,0.058,29.17080898850201,193.9547413246116,1.2079,MBA,.43019
   208 Lacrimosa,208,Lacrimosa,9.2,40.056,0.206,4.233216519099053,108.9052452315553,1.87514,MBA,.4476
   209 Dido,209,Dido,8.2,179.008,0.028,.6536476028880224,249.5077620084776,1.96857,MBA,.44098
   210 Isabella,210,Isabella,9.5,86.65,0.0436,32.56913788018724,14.80162065835694,1.39486,MBA,.43408
   211 Isolda,211,Isolda,8.0,141.125,0.062,263.6304203446908,173.3902145396584,1.57021,MBA,.47541
   212 Medea,212,Medea,8.3,136.12,0.0465,312.9211972882724,104.5707205398455,1.81387,MBA,.45563
   213 Lilaea,213,Lilaea,8.9,82.096,0.092,122.0287805533535,162.2401594402144,1.33966,MBA,.47254
   214 Aschera,214,Aschera,9.3,24.957,1.000,341.9708200129292,131.6899531711815,1.54898,MBA,.44606
   215 Oenone,215,Oenone,9.5,35.210,0.243,24.90699952743121,316.3862302893454,1.66326,MBA,.44439
   216 Kleopatra,216,Kleopatra,7.30,122,0.1164,215.3476027034791,179.9841268768108,1.09855,MBA,.40344
   217 Eudora,217,Eudora,9.9,65.392,0.049,162.5735082550134,155.3123560732061,.969121,MBA,.43555
   218 Bianca,218,Bianca,8.5,60.62,0.1746,170.5774093974314,62.62967264451432,1.38675,MBA,.42895
   219 Thusnelda,219,Thusnelda,9.2,37.674,0.189,200.8109515463108,142.7273630916598,.833871,MBA,.42284
   220 Stephania,220,Stephania,11.2,31.738,0.069,257.8827147141118,78.61409422604008,.754377,MBA,.44916
   221 Eos,221,Eos,7.7,95.469,0.166,141.7332162339766,192.3447366739485,1.69189,MBA,.45432
   222 Lucia,222,Lucia,9.6,55.350,0.128,80.13650007559617,181.4105115996347,1.7151,MBA,.45425
   223 Rosa,223,Rosa,9.8,79.806,0.020,47.63629031773172,64.37738790636722,1.74861,MBA,.46578
   224 Oceana,224,Oceana,8.6,58.236,0.166,352.7945368493931,284.958259779976,1.52014,MBA,.45078
   225 Henrietta,225,Henrietta,8.8,95.934,0.062,197.0489074268616,103.7452823601051,1.58162,OMB,.42073
   226 Weringia,226,Weringia,9.8,31.494,0.352,134.9509801840672,154.1849679794931,1.15259,MBA,.39806
   227 Philosophia,227,Philosophia,9.1,123.891,0.065,326.2064057277598,267.3905379046898,1.56908,MBA,.43161
   228 Agathe,228,Agathe,12.2,9.30,0.2082,313.2995742219795,19.02575737544322,.658827,MBA,.45723
   229 Adelinda,229,Adelinda,9.2,105.912,0.035,28.01307440031441,310.3199037895273,1.94051,OMB,.46224
   230 Athamantis,230,Athamantis,7.3,111.332,0.164,239.8486152528567,140.0274036627697,1.24771,MBA,.53462
   231 Vindobona,231,Vindobona,9.6,73.545,0.068,350.4983281666564,269.0173290001957,1.47102,MBA,.43248
   232 Russia,232,Russia,10.4,54.730,0.033,152.2095864266944,52.00114859749761,1.10923,MBA,.43377
   233 Asterope,233,Asterope,8.3,99.672,0.094,221.9713359641011,126.1450318056104,1.40083,MBA,.49247
   234 Barbara,234,Barbara,9.1,45.476,0.205,144.504102846018,192.1852318254431,.793029,MBA,.39134
   235 Carolina,235,Carolina,8.9,57.517,0.177,66.00937458510263,207.7518729333771,1.6896,MBA,.43689
   236 Honoria,236,Honoria,8.1,77.708,0.156,185.8479577324561,174.64048093,1.25965,MBA,.46532
   237 Coelestina,237,Coelestina,9.1,41.08,0.2108,84.24528491999209,200.0895983457781,1.553,MBA,.35628
   238 Hypatia,238,Hypatia,8.1,155.659,0.039,183.8674080272917,210.6704859342607,1.65802,MBA,.45801
   239 Adrastea,239,Adrastea,10.4,37.609,0.095,180.6187562924317,209.9447914171277,1.27538,MBA,.44886
   240 Vanadis,240,Vanadis,9.1,87.928,0.057,115.0679673238629,300.9969463414956,1.12343,MBA,.49347
   241 Germania,241,Germania,7.8,168.90,0.0575,270.3453572525291,80.41153582749016,1.73514,MBA,.47261
   242 Kriemhild,242,Kriemhild,9.3,40.802,0.222,206.9095889963799,279.3236752695892,1.55813,MBA,.42955
   243 Ida,243,Ida,9.9,32,0.262,323.6310859275075,114.0946557247195,1.75261,MBA,.4476
   244 Sita,244,Sita,11.9,11.077,0.256,208.9653135660483,166.4276970930311,.87748,MBA,.41912
   245 Vera,245,Vera,7.8,75.949,0.228,61.06696005882405,331.5930087372715,1.49546,MBA,.45397
   246 Asporina,246,Asporina,8.4,50.891,0.193,162.2894306599525,96.14091910863256,1.44459,MBA,.44184
